"activity_name","destination_name","seo_title","content","description","presentation"
"Bar à Fléchettes","Amsterdam","Bar à Fléchettes pour mon EVG à Amsterdam!","<ul><li>L'activité se déroule dans un bar au centre-ville</li><li>jeu de fléchettes</li><li>cible qui compte les points automatiquement</li><li>4 modes de jeu différents</li><li>ouvert de 16h à minuit, du mardi au samedi</li><li>1 piste pour 7 personnes</li><li>possibilité de commander des boissons et de la nourriture sur place (supplément)</li><li>Durée: 1h30</li><li>Min 5 personnes</li></ul>","<p>L'activité se déroule dans un bar situé en plein centre-ville. Elle comprend un jeu de fléchettes avec une cible qui compte automatiquement les points.&nbsp;</p>","<p>Envie de faire un apéro un peu sympa pendant votre enterrement de vie de garçon? Nous avons trouvé un super Bar à Fléchettes dans le centre-ville d'Amsterdam !&nbsp;</p><p>Comment ça marche ? Chaque groupe va avoir une ligne, comme dans le bowling. Chaque ""piste"" a une cible et une tablette avec des jeux différents. Vous n'avez même pas à vous soucier de compter les points, tout est automatisé.</p><p><br></p><p><u>BON A SAVOIR:</u></p><p>Le bar est ouvert de 16h à minuit, du mardi au samedi.<br></p>"
"Croisière Open Bar & Pizza","Amsterdam","Croisière Open Bar & Pizza pour mon EVG à Amsterdam","<ul> 	<li><span style=""font-weight: normal;""> 		Location d'un bateau pendant 1h30</span></li> 	<li><span style=""font-weight: normal;""> 		Un skipper vous guide tout le long du trajet</span></li> 	<li><span style=""font-weight: normal;""> 		Bière, vin et softs à volonté</span></li> 	<li><span style=""font-weight: normal;""> 		Une pizza par personne</span></li> </ul> ","Le moyen de transport idéal pour visiter Amsterdam: votre propre bateau privé ... Et en prime : quelques pizzas et boissons à volonté !","<p> 	Le point de RDV est en centre-ville donc accessible à pieds ou en transport en commun. La guide vous accompagne jusqu'au lieu de départ.</p> <p> 	Le bateau est privatisé pour votre groupe, ainsi l'activité requiert un minimum de 8 participants pour profiter du meilleur prix. Avec des bières, vin et softs à volonté ainsi qu'une pizza par personne, vous avez là toutes les clés pour découvrir la ville de façon à la fois festive et détendue.</p> <p> 	Amsterdam regorge de canaux, la croisière est donc un des moyens les plus sympas de visiter !&nbsp;</p><p>Pour encore plus de kiff, testez la <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/croisi%C3%A8re-la-totale-activites"">Croisière La Totale</a> !</p><p><b><u>BON A SAVOIR</u> :</b></p><p>Le point de RDV est en centre-ville donc accessible à pieds ou en transport en commun.<span style=""font-weight: normal;""><br></span></p> "
"Dîner avec tireuse à bière","Amsterdam","Dîner avec tireuse à bière pour votre EVG à Amsterdam","<ul><li>Table réservée pour le groupe&nbsp;</li><li>2 heures d'activité</li><li>1 plat principal&nbsp;</li><li>1 bière par personne</li><li>Une tireuse à bière sur votre table&nbsp;</li><li>Attention : la bière de la tireuse n’est pas incluse dans le prix. Vous la payerez directement sur place</li></ul>","<p>Un dîner simple mais efficace dans un Pub en plein centre d'Amsterdam !</p>","<p>Besoin de récupérer après une <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/soir%C3%A9e-red-light-district-activites"">Tournée des Bars</a> particulièrement agitée ? Ou simplement de prendre des forces avant d'aller en <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/boite-+-bouteille--activites"">boîte</a> ?&nbsp;</p><p>Ce repas est fait pour vous ! En plein centre ville d'Amsterdam, dégustez un plat typique de pub, le tout avec une bière par personne. Mais avec une bière par personne, est-ce vraiment un EVG ? Bien sûr que non ! C'est pourquoi vous aurez à même votre table une tireuse à bière privée afin de ne jamais manquer ;)</p><p><u>BON A SAVOIR</u> :</p><p>Le pub est en centre-ville d'Amsterdam, parfait pour sortir ensuite !</p><p>La bière de la tireuse n'est pas inclue dans le prix, vous devrez la payer à la fin de votre repas en fonction de votre consommation.</p>"
"Dîner + striptease ","Amsterdam","Dîner + striptease  pour mon EVG à Amsterdam","<ul> 	<li> 		Dîner dans un pub hollandais en plein centre d'Amsterdam</li> 	<li> 		Un plat par personne + une pinte de bière</li> 	<li> 		Un striptease de 15mn pour le marié</li> </ul> ","Le classique de l'EVG : un dîner entre potes, une salle privée, et une stripteaseuse !","<p> 	Un plat par personne + une pinte de bière locale sont inclus. Libre à vous de recommander des bières, du vin ou ... des shots de vodka (à votre charge).</p> <p> 	A la fin du repas le marié aura droit à un striptease à votre table, dans la salle privée du restaurant !</p><p>Si un striptease ne vous a pas suffi, allez ensuite en <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/entr%C3%A9e-en-strip-club-activites"">Stripclub</a> !</p><p><u>BON A SAVOIR</u> :</p><p>Le pub est en plein centre-ville d'Amsterdam !</p> "
"Crazy night ","Amsterdam","Crazy night  pour mon EVG à Amsterdam","<p></p><ul><li><p style=""display: inline !important;"">Tournée des bars </p></li><li>Visite de 3-4 bars</li><li>Présence de la guide pendant 3h</li><li>La guide s'adapte à vos envies, votre style, vos idées</li><li>1 shot vous sera offert si vous consommez dans le bar</li><li>Entrée bar dansant</li><li>Possibilité de rajouter un striptease (dans 1 salle privée dans un bar/restaurant, consommation obligatoire sur place) pendant l'activité (supplément)</li></ul><p></p><ul> </ul> ","Une soirée totalement Crazy: tournée des bars, entrée en club de strip et enfin entrée en boite pour finir la nuit!","<p> 	Notre guide vous retrouve dans un quartier central d'Amsterdam et vous propose de découvrir les meilleurs bars de la ville.&nbsp;</p> <p> 	Ensuite la guide s'adapte à vos goûts et vos envies. Elle vous fait découvrir les endroits qui sont susceptibles de vous plaire en fonction de vos suggestions. Une entrée pour un spectacle érotique ainsi qu'une entrée en boite de nuit sont incluses pour tout le groupe.</p><p>C'est la soirée parfaite après un <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/car-smash-activites"">Car Smash</a></p><p><u>BON A SAVOIR</u> :</p><p>Tout se fait à pied dans l'un des quartiers animés de la ville.&nbsp;<br></p> "
"Transfert Aéroport + Sexy Auto Stoppeuse","Amsterdam","Transfert Aéroport + Sexy Auto Stoppeuse pour mon EVG à Amsterdam","<ul><li>Transfert de l'aéroport à votre hébergement à bord du minibus privatisé</li><li>Une sexy auto stoppeuse arrête le minibus</li><li>Un strip show de 15 min</li><li>Attention, le transfert retour n'est pas inclus dans le prix</li><li>Possibilité de rajouter un transfert retour avec un supplément</li></ul>","<p>Vous en rêviez ? Nous l'avons fait ! Une Sexy Auto-stoppeuse débarque à bord et annonce l'ambiance du weekend avec un super strip-tease !</p>","<p>Vivez une expérience unique d'un transfert aéroport avec une touche de glamour en compagnie d'une séduisante autostoppeuse à Amsterdam pour votre enterrement de vie de garçon.&nbsp;</p><p>Une jolie fille vous arrêtera&nbsp;sur la route de l'aéroport à l'hôtel pour offrir un cadeau spécial au marié!</p>"
"Dîner & Club ","Amsterdam","Dîner & Club pour mon EVG à Amstedam!","<ul><li>Dîner dans un restaurant en centre-ville</li><li>Menu 3 plats</li><li>Entrée en club VIP</li><li>Entrée coupe-file</li></ul>","<p>Pas de prise de tête avec cette option : toute votre soirée est organisée !</p>","<p>Optez pour un&nbsp;Dîner &amp; Club pour votre EVG à Amsterdam!</p><p>Une soirée complète dans l’un des lieux les plus prisés d’Amsterdam, sur la place Rembrandt.</p><p>Profitez de l’ambiance raffinée de notre restaurant partenaire avec un&nbsp;dîner 3 plat&nbsp;puis poursuivez la soirée au meilleur club de la ville!</p><p>Pas de prise de tête avec cette option : toute votre soirée est organisée !</p>"
"Shooting Pistolet","Amsterdam","Shooting Pistolet pour mon EVG à Amsterdam!","<ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Shooting avec 2 pistolets</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>25 balles</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Briefing</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Durée: 1 heure</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Instructeur local</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>À environ 15min du centre-ville</li></ol><p><br></p>","<p>Le Shooting n'est clairement pas une activité facile à faire en France; en revanche à Amsterdam c'est de coutume alors pourquoi ne pas l'essayer lors de votre enterrement de vie de garçon à Amsterdam ?</p>","<p>Le Shooting n'est clairement pas une activité facile à faire en France; en revanche à Amsterdam c'est de coutume alors pourquoi ne pas l'essayer lors de votre enterrement de vie de garçon à Amsterdam ?</p><p>Avec notre activité Shooting Pistolet, chacun pourra tirer 25 balles avec deux pistolets. </p><p>La session se déroule sous la supervision de nos instructeurs qualifiés. Le respect strict des consignes de sécurité est essentiel, et il est impératif de se présenter sobre au stand de tir (les consignes sont données en anglais).</p>"
"Dégustation Whisky","Amsterdam","Dégustation Whisky pour mon evg à Amsterdam","<ul><li>Dégustation de whiskey</li><li>5 whiskeys</li><li>Durée: 1 heure</li></ul>","<p>Découvrez les secrets des meilleurs whiskies lors de cet atelier d'une heure en plein cœur d'Amsterdam.</p>","<p>Dégustation Whisky pour votre EVG!</p><p>Découvrez les secrets des meilleurs whiskies lors de cet atelier d'une heure en plein cœur d'Amsterdam.</p><p>Notre expert en whisky vous apprendra tout ce qu'il faut savoir, de son histoire riche aux conseils de dégustation.</p><p>Vous dégusterez 5 whiskies par personne, des saveurs audacieuses et fumées d'Écosse aux notes raffinées du Japon.</p>"
"Entrée en boîte VIP","Amsterdam","Entrée en boîte VIP pour mon EVG à Amsterdam","<ul><li><span style=""font-weight: normal;"">Entrée dans le meilleur club d'Amsterdam</span></li><li><span style=""font-weight: normal;"">Très bonne musique</span></li><li><span style=""font-weight: normal;"">5 personnes minimum</span></li><li><span style=""font-weight: normal;"">Entrée avant 23:30</span></li><li><span style=""font-weight: normal;"">L'âge minimum pour entrer dans la boîte est 21 ans<br></span></li></ul>","","<p><span style=""font-weight: normal;"">Accédez à la meilleure boîte d'Amsterdam grâce à notre Entrée en boîte VIP lors de votre enterrement de vie de garçon !</span></p><p><span style=""font-weight: normal;"">Nous vous accueillons dans le meilleur club d'Amsterdam, situé à proximité du canal de l'Amstel, pour une soirée de folie !</span></p><p><span style=""font-weight: 400;"">L'établissement est ouvert de 23h00 à 05h00 du matin. Il dispose de deux salles différentes : la salle principale située au rez-de-chaussée, qui offre une ambiance électro, et la salle de l'étage, pour une ambiance hip/hop et dancehall.</span></p><p><span style=""font-weight: normal;"">Ce club est depuis des années déjà le club le plus réputé de la ville et vous assure une soirée des plus festives pour votre EVG à Amsterdam !</span></p><p><span style=""font-weight: normal;"">L'Entrée en Boîte VIP est l'activité idéale à la suite d'un <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/d%C3%AEner-traditionnel-activites"">Dîner Traditionnel</a> et d'une <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/tourn%C3%A9e-des-bars--activites"">Tournée des bars</a>.</span></p><p><u>BON A SAVOIR</u> :</p><p><span style=""font-weight: 400;"">Comme tout club sélect qui se respecte, l'établissement impose un code vestimentaire très appliqué. Pensez donc à vous mettre sur votre 31 ! Aussi, il est impératif d'avoir plus de 21 ans afin de pouvoir accéder au club.</span></p>"
"Atelier Cocktails","Amsterdam","Atelier Cocktails pour mon EVG à Amsterdam","<ul> 	<li><span style=""font-weight: normal;""> 		La privatisation du lieu durant 1h30</span></li><li><span style=""font-weight: normal;"">Atelier cocktail</span></li> 	<li><span style=""font-weight: normal;""> 		La création de 3 cocktails par personne&nbsp;</span></li><li><span style=""font-weight: normal;"">Aide et les explications d’un barman</span></li> 	<li><span style=""font-weight: normal;""> 		La dégustation de vos cocktails</span></li><li><span style=""font-weight: normal;"">Min 8 personnes</span></li><li><span style=""font-weight: normal;"">L'activité a lieu dans le centre ville</span></li> </ul> ","Marre des vodka redbulle et des whisky coca, vous rêvez de découvrir des recettes plus originales ? Devenez de vrais pros du cocktail en participant à cet Atelier privatisé, lors de votre EVG !","<p><span style=""font-weight: normal;""> 	Découvrez ce bar à cocktail unique à Amsterdam, dans une ambiance conviviale et ludique.</span></p> <p><span style=""font-weight: normal;""> 	Vous apprendrez à faire virevolter vos shakers afin de donner une saveur particulière à chacun de vos cocktails.</span></p> <p><span style=""font-weight: normal;""> 	Un Barman professionnel sera bien entendu là pour vous enseigner cet art et vous dire quels ingrédients peuvent se marier ensemble.</span></p><p><span style=""font-weight: normal;"">Si vous aimez les cocktails, testez l'<a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/ice-bar-&amp;-cocktails-activites"">Ice Bar &amp; Cocktails</a> !</span></p><p><span style=""font-weight: normal;""><u>BON A SAVOIR</u> :&nbsp;</span></p><p><span style=""font-weight: normal;"">L'activité se fait en centre-ville d'Amsterdam</span></p> "
"Brunch & Bagel ","Amsterdam","Brunch & Bagel pour mon EVG à Amsterdam!","<ul><li>Table réservée pour le groupe</li><li>1 bagel par personne</li><li>3 verres par personne: vin, bière ou soft</li><li>Le restaurant se trouve sur la place Rembrandt</li></ul>","<p>Rechargez les batteries avec notre Brunch &amp; Bagel ! Un repas bon et équilibré après une soirée d'excès lors de votre EVG à Amsterdam.</p>","<p style=""text-align: justify;"">Rechargez les batteries avec notre Brunch &amp; Bagel ! Un repas bon et équilibré après une soirée d'excès lors de votre EVG à Amsterdam.</p><p style=""text-align: justify;"">Nous réservons une table dans un restaurant à quelques pas de la gare centrale d'Amsterdam pour votre groupe.</p><p style=""text-align: justify;"">Le prix comprend 1 bagel par personne : au sésame, blanc ou multigrains, avec garniture au poulet, à l'avocat, au carpaccio ou aux œufs Bénédicte.</p><p style=""text-align: justify;"">Vous aurez également droit à 3 boissons par personne !</p><p style=""text-align: justify;"">Si vous avez encore faim, vous pouvez commander d'autres plats directement sur place, pas d'inquiétude !</p><p style=""text-align: justify;""><br></p><p style=""text-align: justify;"">BON À SAVOIR:</p><p style=""text-align: justify;"">Le combo parfait? Notre Brunch &amp; Bagel suivi par une session de Laser Game!</p>"
"Foot 5-5","Amsterdam","Foot 5-5 pour mon EVG à Amsterdam","<p></p><ul><li><p style=""display: inline !important; font-weight: normal;"">1 heure de location de terrain indoor (en gymnase)</p></li><li><span style=""font-weight: normal;"">Ballon fourni</span></li><li><span style=""font-weight: normal;"">Vestiaires sur place</span></li><li><span style=""font-weight: normal;"">10 personnes minimum recommandé pour cette activité (ou 8 pour un 4 VS 4)</span></li><li><span style=""font-weight: normal;"">Possibilité d'ajouter un transfert en supplément (terrain situé à 5-10 minutes du centre-ville)</span></li><li><span style=""font-weight: normal;"">Possibilité d'allonger le temps de location du terrain d'une heure avec supplément</span></li></ul><p></p><ul> </ul> ","Pour un bon décrassage, rien de tel qu'un foot entre potes !","<p><span style=""font-weight: normal;"">Rien de mieux qu'un Foot 5-5 pour éliminer l'alcool de la veille lors de votre enterrement de vie de garçon à Amsterdam !</span></p><p><span style=""font-weight: normal;""> 	Le complexe sportif est situé à quelques minutes du centre d'Amsterdam.&nbsp;</span></p> <p><span style=""font-weight: normal;"">Vous serez accueillis par notre instructeur qui vous fournira ballon et chasubles si souhaité. Le terrain est loué pour une durée d'une heure au total. Pensez à prévoir une tenue adaptée : shorts et baskets ! <br>Il y a des vestiaires à disposition pour se changer. A noter que le revêtement au sol est en dur, type terrain de hand ou de basket.</span></p> <p><span style=""font-weight: normal;""> 	Le complexe est uniquement indoor ... à Amsterdam il vaut mieux prévoir un terrain couvert car le beau temps n'est pas toujours au rendez-vous !</span></p><p><span style=""font-weight: normal;"">Vous avez envie d'une activité un peu plus Crazy pour changer ? N'hésitez pas à jeter un </span><span style=""font-weight: 400;"">œil</span><span style=""font-weight: normal;"">&nbsp;à notre <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/foot-bulle-5%2F5-activites"">Foot Bulle</a> !</span></p><p><u>BON A SAVOIR</u> :</p><p><span style=""font-weight: normal;"">Notre gymnase partenaire est situé à quelques minutes à peine du centre ville.<br></span></p><p><span style=""font-weight: normal;"">Vous n'avez pas envie de marcher ? Nous pouvons bien entendu vous organiser un transfert à l'activité.</span></p> "
"Body Sushi","Amsterdam","Body Sushi pour mon EVG à Amsterdam!","<ul><li><span style=""font-weight: normal;"">1h de body sushi</span></li><li><span style=""font-weight: normal;"">Salle privatisée pour le groupe</span></li><li><span style=""font-weight: normal;"">Modèle féminin</span></li><li><span style=""font-weight: normal;"">Sushis pour le groupe</span></li><li><span style=""font-weight: normal;"">1 boisson par personne (bière, vin ou soft)</span></li><li><span style=""font-weight: normal;"">Min 10 participants</span></li></ul>","","<p>Envie d'un dîner..différent? Optez pour le body sushi !</p><p>L'activité se déroule dans un restaurant japonais du centre-ville ou vous aurez une salle privatisée pour votre groupe pendant 1 heure.</p><p>Au menu des sushis et une belle modèle !</p><p>Après une après-midi fatigante avec des <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/highland-games-activites"">Highland Games</a> par exemple, votre ventre et vos yeux vous diront merci !</p><p><u>BON A SAVOIR</u> :</p><p>Le restaurant est en plein centre-ville d'Amsterdam.&nbsp;</p>"
"Chasse au trésor en pédalo","Amsterdam","Chasse au trésor en pédalo pour mon EVG à Amsterdam !","<ul><li>Pédalo (max 4 personnes par pédalo) </li><li>Activité de 2h</li><li>Indices et questions</li><li>1 bouteille de prosecco pour le team gagnante</li><li>Guide</li><li>Min 10 participants</li></ul>","<p>Optez pour une chasse au trésor en pédalo pour une activité enterrement de vie de garçon insolite et fun à Amsterdam !&nbsp;</p>","<p>Optez pour une chasse au trésor en pédalo pour une activité enterrement de vie de garçon insolite et fun à Amsterdam ! En cours de route, vous devrez trouver des indices et les bonnes réponses pour atteindre votre destination ! Vous concourrez en équipe et l'équipe gagnante recevra une bouteille de prosecco !</p>"
"Dégustation de bières ","Amsterdam","Dégustation de bières  pour mon EVG à Amsterdam","<ul> 	<li> 		Guide locale</li> 	<li> 		Explications sur l'histoire de la bière, explication du processus de fabrication</li> 	<li> 		Dégustation de 5 bières différentes&nbsp;</li> 	<li> 		Blonde, Brune, Rousse... il y en a pour tous les goûts</li> 	<li> 		Durée : 1h30</li> </ul> ","Une variété incroyable de bières différentes, à découvrir avec ou sans modération!","<p>Le RDV est fixé sur place avec l'équipe de la brasserie qui vous fera découvrir le processus de fabrication puis vous fera déguster 5 bières différentes produites sur place. Toute la production est artisanale !</p> <p> 	L'activité dure environ 1h30 et est idéalement à faire dans l'après-midi.</p><p>C'est le parfait before avant un <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/d%C3%AEner-traditionnel-activites"">Dîner Traditionnel</a>.</p><p><u>BON A SAVOIR</u> :</p><p>La brasserie est située en centre-ville et est facile d'accès à pieds ou en transport en commun.&nbsp;<br></p> "
"Beer Bike","Amsterdam","Beer Bike pour mon EVG à Amsterdam","<ul> 	<li><span style=""font-weight: normal;""> 		1h15 de location du Beer Bike</span></li> 	<li><span style=""font-weight: normal;""> 		Un chauffeur qui reste sobre pour conduire</span></li> 	<li><span style=""font-weight: normal;""> 		20 litres de bières inclus pendant la balade (ou 12 bouteilles de Prosecco)</span></li><li><span style=""font-weight: normal;"">6 personnes minimum, 16 personnes maximum</span></li><li><span style=""font-weight: normal;"">Attention: l'activité n'a pas lieu dans le centre ville</span></li> </ul> ","<p></p><div><br></div><p></p>","<p><span style=""font-weight: normal;""> 	Le Beer Bike à Amsterdam est un véhicule spécial qui mélange fun, visite guidée, bière et effort sportif...&nbsp;</span></p><p><span style=""font-weight: normal;"">Le Beer Bike vous permet de consommer 20 litres de bières dans les rues d'Amsterdam dans le plus grand des calmes, tranquillement assis sur vos sièges avec la musique. Bon, il y a quand même un bémol pour les plus flemmards qui se voyaient chiller pendant 1h30...&nbsp;</span></p><p>Car oui il faut quand même pédaler un peu pour que le ""vélo"" avance !&nbsp;<span style=""font-weight: normal;""><br></span></p><p><span style=""font-weight: normal;"">En effet sur le Beer Bike vous êtes assis sur des selles de vélo les uns en face des autres et devrez pédaler un minimum pour ne pas vous retrouver au point mort... Ce serait bête de ne rien visiter d'Amsterdam..</span></p><p><span style=""font-weight: normal;"">Le chauffeur du Beer Bike reste sobre et tient seul le guidon du véhicule. Un bon moyen d'allier effort et réconfort.</span></p> <p>Après l'effort, le réconfort : après avoir pédalé, faites un <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/d%C3%AEner-drag-queen-activites"">Dîner Drag Queen</a> !</p><p><u>BON A SAVOIR</u> :</p><p><span style=""font-weight: normal;"">Le Beer Bike est réservé aux groupes de <u>6 à 16 personnes&nbsp;</u>&nbsp;(il n'est pas possible d'être moins... ni plus!)</span></p><p>Le point de RDV est accessible à pied ou en transport en commun.&nbsp;<span style=""font-weight: normal;""><br></span></p> "
"Lancer de hache","Amsterdam","Lancer de hache pour mon EVG à Amsterdam!","<ul><li>Lancer de hache</li><li>Le matériel nécessaire</li><li>Instructeur</li><li>12 jeux</li><li>5 lignes disponibles&nbsp;</li><li>Durée: 1 heure</li></ul>","<p>Offrez au futur marié une session de lancer de haches ! Insolite et fun, cette activité restera sans aucun doute dans les mémoires.</p>","<p>Envie d'une activité amusante et sans prise de tête ? Essayez le lancer de hache !</p><p>Pendant votre enterrement de vie de garçon à Amsterdam, lancez-vous dans cette activité originale : un instructeur vous apprendra à lancer la hache et vous proposera de nombreux jeux pour vous défier.</p><p><br></p><p><u>BON À SAVOIR:</u></p><p>L'activité a une durée d'1 heure.</p>"
"Dîner bar sport","Amsterdam","Dîner bar sport pour mon EVG à Amsterdam !","<ul><li>Table réservée pour le groupe</li><li>1 plat par personne&nbsp;</li><li>1 boisson par personne (bière, vin ou soft)</li><li>Min 5 personnes</li><li>2 heures d'activité</li><li>Matchs de foot à la télé</li><li>Le restaurant devient un club</li></ul>","<p>Table réservée pour votre groupe dans un restaurant style brasserie pour votre Crazy Dîner !</p>","<p>Table réservée pour votre groupe dans un restaurant style brasserie pour votre Crazy Dîner !</p><p>Superambiance avec diffusion des matchs de foot et avec musique ! Le plus : après le service, le restaurant devient un club !</p><p><br></p><p><u>BON A SAVOIR</u> :</p><p>Le bar est en centre-ville d'Amsterdam.</p>"
"Croisière Open Bar & Strip","Amsterdam","Croisière Open Bar & Strip  pour mon EVG à Amsterdam","<ul> 	<li> 		Location d'un bateau privatisé pendant 1h30</li> 	<li> 		Un skipper vous guide tout le long du trajet</li> 	<li> 		Bière, vin et softs à volonté</li> 	<li> 		Striptease d'environ 15 minutes (Le strip-tease a lieu dans un bar après la croisière)</li> </ul> ","<p>Le must pour visiter Amsterdam à la cool, votre bateau privé et une jolie surprise : une stripteaseuse !</p>","<p>Le bateau est privatisé pour votre groupe. Durant la traversée, une petite surprise viendra vous réjouir messieurs, et surtout le futur marié !<br></p><p>Une stripteaseuse viendra vous faire un show d'environ 15 minutes histoire de mettre un peu d'ambiance pendant cette croisière open bar.</p> <p> 	Amsterdam regorge de canaux, la croisière est donc un des moyens les plus sympas de visiter la ville !</p><p>Pour encore plus de kiff, faites la <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/croisi%C3%A8re-la-totale-activites"">Croisière La Totale</a> !</p><p><b><u>BON À SAVOIR</u>&nbsp;:</b></p><p>Le point de RDV est en centre-ville donc accessible à pieds ou en transport en commun.&nbsp;<span style=""font-weight: normal;""><br></span></p> "
"Entrée en boîte","Amsterdam","Entrée en boîte pour mon EVG à Amsterdam","<p><ul><li><p style=""display: inline !important;"">Entrée en club pour tout le groupe</p></li><li>Coupe-file pour éviter la queue (dans la majeure partie de nos clubs partenaires)</li><li>Club ouvert de 23h à 05h</li><li>L'âge minimum pour rentrer dans la boîte est 21 ans</li></ul></p><ul> </ul> ","Venez vous déhancher sur le dancefloor de l'un des meilleurs clubs d'Amsterdam ! ","<p> 	Votre groupe est sur liste dans l'une des meilleursboîtee de la ville, située en plein centre-ville. L'entrée est garantie, vous êtes libre de clubber toute la nuit !!</p><p>Si vous voulez une boîte de nuit encore plus quali, prenez l'<a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/entr%C3%A9e-en-bo%C3%AEte-vip-activites"">Entrée en boîte VIP</a> !</p><p><b><br></b></p><p><b><u> 	BON A SAVOIR</u> :&nbsp;</b></p><p>En cas d'état d'ébriété trop avancée, de tenue vraiment inappropriée (torse nu, déguisement de bite ou de lapin, short-chaussettes-tongs...) nous ne pouvons pas garantir l'entrée, et le personnel de la boîte est susceptible de vous refuser l'accès. Tâchez donc d'être un minimum lucide avant d'entrer dans le club messieurs !<br></p> "
"Paintball","Amsterdam","Paintball pour mon EVG à Amsterdam","<ul> 	<li> 		3 heures environ sur le site</li><li>4-5 missions</li> 	<li> 		150&nbsp; balles par person</li><li>Équipement nécessaire</li> 	<li> 		Déguisement de lapin pour le marié</li> 	<li> 		Plusieurs scénarios de jeu sont proposés sur place</li><li>1 instructeur local</li><li>Le terrain est situé à 45 min du centre ville</li> 	<li> 		Possibilité d'ajouter un transfert activité A/R en minibus privé sur demande (en supplément)</li> </ul> ","Parce qu’à Amsterdam ils ont aussi des balles de peinture. Shootez le marié comme vous en avez toujours rêvé !","<p>Un EVG sans Paintball c'est un peu comme une raclette sans fromage. Réservez ce classique des enterrements de vie de garçon pour votre week-end à Amsterdam pour un max d'amusement et de convivialité.</p><p>Il faut compter environ 45 min de route pour se rendre au terrain de Paintball depuis le centre d'Amsterdam. Le terrain est en plein air, mais il est bien ouvert toute l'année ! </p><p>Avec plusieurs scénarios de jeu, vous aurez amplement le temps de shooter le futur marié qui lui, sera déguisé en lapin. </p><p>Si vous ne disposez pas de moyen de locomotion à Amsterdam et que vous souhaitez éviter le train, nous pouvons vous privatiser un minibus avec chauffeur pour vous rendre sur le lieu du Paintball (voir ""transfert activité""). </p><p>Le Paintball, au même titre que le <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-amsterdam/grand-prix-karting-activites"" rel=""noopener noreferrer"" target=""_blank"">Karting</a> est une valeur sûre pour un EVG, quelque soit l'ambiance du groupe.</p><p><strong><u>BON A SAVOIR</u> :</strong></p><p>L'activité Paintball est conseillée pour les groupes de 6 personnes minimum. Pour les groupes de moins de 6 personnes vous serez mixés avec d'autres participants. </p>"
"A'Dam Lookout Tower","Amsterdam","A'Dam Lookout Tower pour mon EVG à Amsterdam","<ul> 	<li> 		Entrée pour la A'Dam Lookout Tower</li> 	<li> 		Accès au Sky Deck et au pont panoramique pour une sublime vue à 360°</li> 	<li> 		Durée : restez aussi longtemps que vous le souhaitez !</li> </ul> ","Venez découvrir à quoi ressemble Amsterdam vu du ciel !","<p><span style=""font-weight: 400;"">Transformez vous</span><span style=""font-weight: normal;"">&nbsp;en petit oiseau et venez observer de façon spectaculaire la ville, de très haut !&nbsp;</span></p> <p><span style=""font-weight: normal;""> 	Situé au dernier étage de la A'Dam Lookout Tower, le point d'observation vous offrira une vue imprenable sur le centre ville historique, la zone portuaire, et les polders du nord de la ville.</span></p><p><span style=""font-weight: normal;""><u>BON A SAVOIR</u> :</span></p><p><span style=""font-weight: normal;"">L'activité est accessible en transports en commun.&nbsp;</span></p> "
